datetime_utc,actual_solar_MW,forecast_solar_MW,actual_wind_MW,forecast_wind_MW,actual_total_MW,forecast_total_MW
2025-10-01 00:00:00+00:00,0.0,0.054143882638758384,121.0,744.1767508587086,121.0,744.2308947413474
2025-10-01 01:00:00+00:00,0.0,0.06626842476330051,135.0,855.4291852138246,135.0,855.4954536385878
2025-10-01 02:00:00+00:00,0.0,0.06641977259471268,185.0,960.7313710305657,185.0,960.7977908031604
2025-10-01 03:00:00+00:00,0.0,0.12477728210941974,206.0,1035.0550295671162,206.0,1035.1798068492255
2025-10-01 04:00:00+00:00,37.0,85.87941148678706,200.0,1122.5560220000054,237.0,1208.4354334867926
2025-10-01 05:00:00+00:00,576.0,974.9186470747956,154.0,1167.3506582591372,730.0,2142.2693053339326
2025-10-01 06:00:00+00:00,1576.0,2192.726531945108,130.0,991.9359642253041,1706.0,3184.662496170412
2025-10-01 07:00:00+00:00,2513.0,3259.7278644649755,129.0,1003.041576058401,2642.0,4262.769440523376
2025-10-01 08:00:00+00:00,3381.0,4253.01189983983,114.0,794.5615506913257,3495.0,5047.573450531156
2025-10-01 09:00:00+00:00,4046.0,4594.336663578921,114.0,616.1125767128058,4160.0,5210.449240291727
2025-10-01 10:00:00+00:00,4020.0,4657.3103355646435,180.0,542.5863675856191,4200.0,5199.8967031502625
2025-10-01 11:00:00+00:00,3851.0,4489.444494382862,272.0,718.9622324382467,4123.0,5208.406726821109
2025-10-01 12:00:00+00:00,3165.0,3876.957243054711,400.0,928.3923688679524,3565.0,4805.349611922664
2025-10-01 13:00:00+00:00,2090.0,2749.556659843935,553.0,1203.6245484802791,2643.0,3953.181208324214
2025-10-01 14:00:00+00:00,1081.0,1874.2180593299754,584.0,1362.3509289810017,1665.0,3236.568988310977
2025-10-01 15:00:00+00:00,201.0,466.24188325349826,583.0,1402.5536567692577,784.0,1868.795540022756
2025-10-01 16:00:00+00:00,0.0,6.222829326496237,580.0,1422.065860999524,580.0,1428.28869032602
2025-10-01 17:00:00+00:00,0.0,0.022404162009579242,579.0,1344.2663540703193,579.0,1344.2887582323287
2025-10-01 18:00:00+00:00,0.0,0.008547373167219227,654.0,1303.0613193126003,654.0,1303.0698666857675
2025-10-01 19:00:00+00:00,0.0,0.006179718648168622,792.0,1226.204796793007,792.0,1226.2109765116552
2025-10-01 20:00:00+00:00,0.0,0.004861612532426667,851.0,1244.8727399473528,851.0,1244.8776015598853
2025-10-01 21:00:00+00:00,0.0,0.004861612532426667,911.0,1242.1256281730489,911.0,1242.1304897855814
2025-10-01 22:00:00+00:00,0.0,0.004919527590341726,980.0,1265.4372679391454,980.0,1265.4421874667357
2025-10-01 23:00:00+00:00,0.0,0.004919527590341726,1039.0,1190.8744070670698,1039.0,1190.8793265946601
2025-10-02 00:00:00+00:00,0.0,0.004919527590341726,1115.0,1202.2618207947005,1115.0,1202.2667403222908
2025-10-02 01:00:00+00:00,0.0,0.004919527590341726,1106.0,1200.4849395862561,1106.0,1200.4898591138465
2025-10-02 02:00:00+00:00,0.0,0.0050708754217539094,1124.0,1317.9717296235872,1124.0,1317.976800499009
2025-10-02 03:00:00+00:00,0.0,0.03854403939538533,1124.0,1489.796526070327,1124.0,1489.8350701097224
2025-10-02 04:00:00+00:00,7.0,64.63544975022789,1254.0,1562.1608276717006,1261.0,1626.7962774219286
2025-10-02 05:00:00+00:00,107.0,666.6489033336998,1358.0,1740.5666920815102,1465.0,2407.21559541521
2025-10-02 06:00:00+00:00,262.0,1468.213887586256,1347.0,1439.7755331952383,1609.0,2907.989420781494
2025-10-02 07:00:00+00:00,469.0,2038.1297725383797,1362.0,1443.4453566206353,1831.0,3481.575129159015
2025-10-02 08:00:00+00:00,749.0,2226.3085738375457,1443.0,1325.0732010939998,2192.0,3551.381774931546
2025-10-02 09:00:00+00:00,876.0,3412.7586463299726,1401.0,1437.2406054383066,2277.0,4849.9992517682795
2025-10-02 10:00:00+00:00,873.0,3474.6541808260754,1332.0,1345.5774699139715,2205.0,4820.2316507400465
2025-10-02 11:00:00+00:00,791.0,2712.9431895002986,1344.0,1199.8112126624658,2135.0,3912.7544021627646
2025-10-02 12:00:00+00:00,836.0,2423.3249862897806,1307.0,949.3145390646766,2143.0,3372.639525354457
2025-10-02 13:00:00+00:00,692.0,1951.799197921094,1540.0,975.7399856177196,2232.0,2927.5391835388136
2025-10-02 14:00:00+00:00,348.0,1027.4164505238937,1555.0,911.410065700213,1903.0,1938.8265162241066
2025-10-02 15:00:00+00:00,87.0,274.13207766979565,1483.0,867.1238073446518,1570.0,1141.2558850144474
2025-10-02 16:00:00+00:00,0.0,2.9881751169910262,1332.0,1062.751756638347,1332.0,1065.739931755338
2025-10-02 17:00:00+00:00,0.0,0.013639069242399902,1427.0,1171.0065239314376,1427.0,1171.02016300068
2025-10-02 18:00:00+00:00,0.0,0.008547373167219227,1641.0,1382.7730927359112,1641.0,1382.7816401090784
2025-10-02 19:00:00+00:00,0.0,0.006179718648168622,1782.0,1618.2973231715537,1782.0,1618.3035028902018
2025-10-02 20:00:00+00:00,0.0,0.004861612532426667,1907.0,1725.2532692375878,1907.0,1725.2581308501203
2025-10-02 21:00:00+00:00,0.0,0.004861612532426667,2050.0,1976.6950182637588,2050.0,1976.6998798762913
2025-10-02 22:00:00+00:00,0.0,0.004861612532426667,2109.0,2052.0222861591155,2109.0,2052.027147771648
2025-10-02 23:00:00+00:00,0.0,0.004861612532426667,2197.0,1900.7370454774705,2197.0,1900.741907090003
2025-10-03 00:00:00+00:00,0.0,0.004861612532426667,2242.0,2117.382953808481,2242.0,2117.3878154210133
2025-10-03 01:00:00+00:00,0.0,0.004861612532426667,2276.0,2062.990079962794,2276.0,2062.9949415753263
2025-10-03 02:00:00+00:00,0.0,0.005241910284487767,2274.0,2222.4450264382353,2274.0,2222.45026834852
2025-10-03 03:00:00+00:00,0.0,0.039828712039081726,2240.0,1996.6258811158918,2240.0,1996.6657098279309
2025-10-03 04:00:00+00:00,31.0,7.7289010135117815,2168.0,1751.923379158362,2199.0,1759.6522801718738
2025-10-03 05:00:00+00:00,774.0,152.572555803462,2038.0,1632.5180061587876,2812.0,1785.0905619622495
